ano,mes,delegacia,populacao,densidade_demografica,idh,furtos,roubos,homicidios_dolosos,lesao_corporal,estelionato,trafico_drogas,total_ocorrencias,trimestre,taxa_por_100k,mes_sin,mes_cos
2021,10,Centro,371000,14200,0.84,121,89,2,42,44,36,384,4,103.50404312668464,-0.8660254037844386,0.5000000000000001
2021,11,Centro,371000,14200,0.84,142,98,3,51,36,35,437,4,117.78975741239893,-0.5000000000000004,0.8660254037844384
2021,12,Centro,371000,14200,0.84,76,92,2,35,39,37,343,4,92.45283018867924,-2.4492935982947064e-16,1.0
2022,1,Centro,371000,14200,0.84,127,83,2,51,40,27,401,1,108.08625336927223,0.49999999999999994,0.8660254037844387
2022,2,Centro,371000,14200,0.84,117,92,3,46,42,43,415,1,111.85983827493261,0.8660254037844386,0.5000000000000001
2022,3,Centro,371000,14200,0.84,138,113,3,53,55,37,477,1,128.57142857142856,1.0,6.123233995736766e-17
2022,4,Centro,371000,14200,0.84,138,91,3,51,48,38,453,2,122.10242587601077,0.8660254037844387,-0.4999999999999998
2022,5,Centro,371000,14200,0.84,171,126,3,68,58,36,547,2,147.43935309973045,0.49999999999999994,-0.8660254037844387
2022,6,Centro,371000,14200,0.84,131,104,3,62,59,40,491,2,132.34501347708894,1.2246467991473532e-16,-1.0
2022,7,Centro,371000,14200,0.84,150,104,3,73,54,40,518,3,139.62264150943395,-0.4999999999999997,-0.8660254037844388
2022,8,Centro,371000,14200,0.84,147,98,3,65,56,41,488,3,131.53638814016173,-0.8660254037844384,-0.5000000000000004
2022,9,Centro,371000,14200,0.84,142,118,4,76,56,36,528,3,142.3180592991914,-1.0,-1.8369701987210297e-16
2022,10,Centro,371000,14200,0.84,108,93,3,53,37,36,413,4,111.32075471698114,-0.8660254037844386,0.5000000000000001
2022,11,Centro,371000,14200,0.84,111,83,2,44,48,32,374,4,100.80862533692722,-0.5000000000000004,0.8660254037844384
2022,12,Centro,371000,14200,0.84,125,82,3,47,50,35,426,4,114.82479784366576,-2.4492935982947064e-16,1.0
2023,1,Centro,371000,14200,0.84,102,71,3,47,40,24,359,1,96.76549865229111,0.49999999999999994,0.8660254037844387
2023,2,Centro,371000,14200,0.84,105,105,2,52,35,22,382,1,102.96495956873316,0.8660254037844386,0.5000000000000001
2023,3,Centro,371000,14200,0.84,136,99,3,65,44,36,465,1,125.33692722371968,1.0,6.123233995736766e-17
2023,4,Centro,371000,14200,0.84,162,105,3,62,49,47,512,2,138.0053908355795,0.8660254037844387,-0.4999999999999998
2023,5,Centro,371000,14200,0.84,146,119,3,54,54,39,501,2,135.04043126684635,0.49999999999999994,-0.8660254037844387
2023,6,Centro,371000,14200,0.84,126,104,3,40,54,30,447,2,120.48517520215634,1.2246467991473532e-16,-1.0
2023,7,Centro,371000,14200,0.84,134,105,3,56,62,44,500,3,134.77088948787062,-0.4999999999999997,-0.8660254037844388
2023,8,Centro,371000,14200,0.84,119,93,2,39,52,34,401,3,108.08625336927223,-0.8660254037844384,-0.5000000000000004
2023,9,Centro,371000,14200,0.84,124,72,2,47,39,27,368,3,99.19137466307278,-1.0,-1.8369701987210297e-16
2023,10,Centro,371000,14200,0.84,107,79,2,51,33,21,359,4,96.76549865229111,-0.8660254037844386,0.5000000000000001
2023,11,Centro,371000,14200,0.84,113,76,2,40,32,32,359,4,96.76549865229111,-0.5000000000000004,0.8660254037844384
2023,12,Centro,371000,14200,0.84,107,74,2,45,52,30,371,4,100.0,-2.4492935982947064e-16,1.0
2018,1,Sé,23000,15000,0.82,70,35,1,31,21,12,200,1,869.5652173913044,0.49999999999999994,0.8660254037844387
2018,2,Sé,23000,15000,0.82,52,44,1,34,28,13,198,1,860.8695652173914,0.8660254037844386,0.5000000000000001
2018,3,Sé,23000,15000,0.82,58,45,1,23,17,11,188,1,817.391304347826,1.0,6.123233995736766e-17
2018,4,Sé,23000,15000,0.82,66,45,1,36,29,22,237,2,1030.4347826086955,0.8660254037844387,-0.4999999999999998
2018,5,Sé,23000,15000,0.82,90,63,2,35,26,17,284,2,1234.782608695652,0.49999999999999994,-0.8660254037844387
2018,6,Sé,23000,15000,0.82,76,41,2,30,25,15,237,2,1030.4347826086955,1.2246467991473532e-16,-1.0
2018,7,Sé,23000,15000,0.82,58,46,1,33,30,26,236,3,1026.086956521739,-0.4999999999999997,-0.8660254037844388
2018,8,Sé,23000,15000,0.82,60,51,1,27,20,14,213,3,926.0869565217391,-0.8660254037844384,-0.5000000000000004
2018,9,Sé,23000,15000,0.82,79,49,1,27,30,17,236,3,1026.086956521739,-1.0,-1.8369701987210297e-16
2018,10,Sé,23000,15000,0.82,45,35,1,26,26,17,187,4,813.0434782608695,-0.8660254037844386,0.5000000000000001
2018,11,Sé,23000,15000,0.82,55,42,0,25,21,18,184,4,800.0,-0.5000000000000004,0.8660254037844384
2018,12,Sé,23000,15000,0.82,58,41,1,22,19,18,206,4,895.6521739130434,-2.4492935982947064e-16,1.0
2019,1,Sé,23000,15000,0.82,53,48,1,25,14,9,186,1,808.695652173913,0.49999999999999994,0.8660254037844387
2019,2,Sé,23000,15000,0.82,48,46,1,18,22,18,186,1,808.695652173913,0.8660254037844386,0.5000000000000001
2019,3,Sé,23000,15000,0.82,59,58,1,18,27,19,228,1,991.304347826087,1.0,6.123233995736766e-17
2019,4,Sé,23000,15000,0.82,55,36,1,30,24,15,196,2,852.1739130434784,0.8660254037844387,-0.4999999999999998
2019,5,Sé,23000,15000,0.82,70,53,1,27,26,17,239,2,1039.1304347826085,0.49999999999999994,-0.8660254037844387
2019,6,Sé,23000,15000,0.82,73,37,1,35,22,26,228,2,991.304347826087,1.2246467991473532e-16,-1.0
2019,7,Sé,23000,15000,0.82,87,50,1,30,29,25,258,3,1121.7391304347827,-0.4999999999999997,-0.8660254037844388
2019,8,Sé,23000,15000,0.82,66,54,1,27,24,19,232,3,1008.695652173913,-0.8660254037844384,-0.5000000000000004
2019,9,Sé,23000,15000,0.82,60,32,1,20,22,17,181,3,786.9565217391305,-1.0,-1.8369701987210297e-16
2019,10,Sé,23000,15000,0.82,54,49,1,19,30,15,204,4,886.9565217391304,-0.8660254037844386,0.5000000000000001
2019,11,Sé,23000,15000,0.82,57,36,1,19,18,7,166,4,721.7391304347826,-0.5000000000000004,0.8660254037844384
2019,12,Sé,23000,15000,0.82,40,48,1,21,13,10,172,4,747.8260869565217,-2.4492935982947064e-16,1.0
2020,1,Sé,23000,15000,0.82,59,38,1,20,15,22,183,1,795.6521739130435,0.49999999999999994,0.8660254037844387
2020,2,Sé,23000,15000,0.82,72,50,1,26,24,11,221,1,960.8695652173913,0.8660254037844386,0.5000000000000001
2020,3,Sé,23000,15000,0.82,72,46,1,29,23,18,221,1,960.8695652173913,1.0,6.123233995736766e-17
2020,4,Sé,23000,15000,0.82,53,57,1,29,20,19,217,2,943.4782608695652,0.8660254037844387,-0.4999999999999998
2020,5,Sé,23000,15000,0.82,65,49,1,30,29,24,237,2,1030.4347826086955,0.49999999999999994,-0.8660254037844387
2020,6,Sé,23000,15000,0.82,65,55,1,20,22,17,221,2,960.8695652173913,1.2246467991473532e-16,-1.0
2020,7,Sé,23000,15000,0.82,82,54,1,23,29,24,248,3,1078.2608695652175,-0.4999999999999997,-0.8660254037844388
2020,8,Sé,23000,15000,0.82,74,43,1,30,22,9,210,3,913.0434782608696,-0.8660254037844384,-0.5000000000000004
2020,9,Sé,23000,15000,0.82,76,34,1,32,23,7,201,3,873.9130434782609,-1.0,-1.8369701987210297e-16
2020,10,Sé,23000,15000,0.82,62,36,0,20,17,17,172,4,747.8260869565217,-0.8660254037844386,0.5000000000000001
2020,11,Sé,23000,15000,0.82,39,57,1,19,21,25,186,4,808.695652173913,-0.5000000000000004,0.8660254037844384
2020,12,Sé,23000,15000,0.82,45,32,1,23,13,14,158,4,686.9565217391304,-2.4492935982947064e-16,1.0
2021,1,Sé,23000,15000,0.82,58,33,1,19,19,13,169,1,734.7826086956521,0.49999999999999994,0.8660254037844387
2021,2,Sé,23000,15000,0.82,69,49,1,24,17,16,205,1,891.3043478260869,0.8660254037844386,0.5000000000000001
2021,3,Sé,23000,15000,0.82,37,33,1,21,18,15,163,1,708.695652173913,1.0,6.123233995736766e-17
2021,4,Sé,23000,15000,0.82,58,39,2,25,14,10,202,2,878.2608695652174,0.8660254037844387,-0.4999999999999998
2021,5,Sé,23000,15000,0.82,70,47,1,30,21,20,224,2,973.9130434782608,0.49999999999999994,-0.8660254037844387
2021,6,Sé,23000,15000,0.82,65,47,1,24,18,18,212,2,921.7391304347826,1.2246467991473532e-16,-1.0
2021,7,Sé,23000,15000,0.82,63,47,1,29,22,24,228,3,991.304347826087,-0.4999999999999997,-0.8660254037844388
2021,8,Sé,23000,15000,0.82,56,43,1,25,22,18,198,3,860.8695652173914,-0.8660254037844384,-0.5000000000000004
2021,9,Sé,23000,15000,0.82,73,44,1,23,19,17,208,3,904.3478260869564,-1.0,-1.8369701987210297e-16
2021,10,Sé,23000,15000,0.82,48,44,1,22,19,13,173,4,752.1739130434783,-0.8660254037844386,0.5000000000000001
2021,11,Sé,23000,15000,0.82,54,30,1,15,15,13,158,4,686.9565217391304,-0.5000000000000004,0.8660254037844384
2021,12,Sé,23000,15000,0.82,37,39,1,23,14,20,160,4,695.6521739130435,-2.4492935982947064e-16,1.0
2022,1,Sé,23000,15000,0.82,52,37,1,16,18,9,177,1,769.5652173913044,0.49999999999999994,0.8660254037844387
2022,2,Sé,23000,15000,0.82,45,34,1,20,22,15,167,1,726.0869565217391,0.8660254037844386,0.5000000000000001
2022,3,Sé,23000,15000,0.82,54,45,1,16,11,5,166,1,721.7391304347826,1.0,6.123233995736766e-17
2022,4,Sé,23000,15000,0.82,86,49,0,22,25,12,218,2,947.8260869565217,0.8660254037844387,-0.4999999999999998
2022,5,Sé,23000,15000,0.82,61,51,1,25,20,17,199,2,865.2173913043479,0.49999999999999994,-0.8660254037844387
2022,6,Sé,23000,15000,0.82,70,46,1,21,18,24,218,2,947.8260869565217,1.2246467991473532e-16,-1.0
2022,7,Sé,23000,15000,0.82,76,44,1,29,25,15,229,3,995.6521739130435,-0.4999999999999997,-0.8660254037844388
2022,8,Sé,23000,15000,0.82,55,40,1,22,27,19,210,3,913.0434782608696,-0.8660254037844384,-0.5000000000000004
2022,9,Sé,23000,15000,0.82,56,53,1,22,16,18,200,3,869.5652173913044,-1.0,-1.8369701987210297e-16
2022,10,Sé,23000,15000,0.82,47,33,1,19,21,18,171,4,743.4782608695652,-0.8660254037844386,0.5000000000000001
2022,11,Sé,23000,15000,0.82,43,31,1,20,18,12,156,4,678.2608695652174,-0.5000000000000004,0.8660254037844384
2022,12,Sé,23000,15000,0.82,53,43,0,20,14,11,165,4,717.391304347826,-2.4492935982947064e-16,1.0
2023,1,Sé,23000,15000,0.82,43,38,1,25,19,18,175,1,760.8695652173914,0.49999999999999994,0.8660254037844387
2023,2,Sé,23000,15000,0.82,50,41,0,14,17,24,169,1,734.7826086956521,0.8660254037844386,0.5000000000000001
2023,3,Sé,23000,15000,0.82,56,40,1,24,18,12,178,1,773.9130434782609,1.0,6.123233995736766e-17
2023,4,Sé,23000,15000,0.82,68,55,1,29,19,18,226,2,982.608695652174,0.8660254037844387,-0.4999999999999998
2023,5,Sé,23000,15000,0.82,73,39,1,21,15,20,205,2,891.3043478260869,0.49999999999999994,-0.8660254037844387
2023,6,Sé,23000,15000,0.82,67,53,1,20,18,21,220,2,956.5217391304348,1.2246467991473532e-16,-1.0
2023,7,Sé,23000,15000,0.82,55,44,1,25,15,16,192,3,834.7826086956521,-0.4999999999999997,-0.8660254037844388
2023,8,Sé,23000,15000,0.82,65,43,1,37,24,19,220,3,956.5217391304348,-0.8660254037844384,-0.5000000000000004
2023,9,Sé,23000,15000,0.82,63,40,1,24,22,8,187,3,813.0434782608695,-1.0,-1.8369701987210297e-16
2023,10,Sé,23000,15000,0.82,54,39,1,22,7,17,164,4,713.0434782608695,-0.8660254037844386,0.5000000000000001
2023,11,Sé,23000,15000,0.82,48,28,1,23,19,9,155,4,673.9130434782609,-0.5000000000000004,0.8660254037844384
2023,12,Sé,23000,15000,0.82,41,30,1,16,12,11,135,4,586.9565217391304,-2.4492935982947064e-16,1.0
2018,1,Brás,31000,12000,0.78,43,30,0,21,17,18,152,1,490.3225806451613,0.49999999999999994,0.8660254037844387
2018,2,Brás,31000,12000,0.78,41,36,1,16,22,13,157,1,506.4516129032258,0.8660254037844386,0.5000000000000001
2018,3,Brás,31000,12000,0.78,52,29,1,23,28,11,181,1,583.8709677419355,1.0,6.123233995736766e-17
2018,4,Brás,31000,12000,0.78,47,44,1,21,22,16,183,2,590.3225806451612,0.8660254037844387,-0.4999999999999998
2018,5,Brás,31000,12000,0.78,62,42,1,20,18,10,190,2,612.9032258064516,0.49999999999999994,-0.8660254037844387
2018,6,Brás,31000,12000,0.78,51,43,1,15,13,14,178,2,574.1935483870968,1.2246467991473532e-16,-1.0
2018,7,Brás,31000,12000,0.78,57,46,2,20,17,13,205,3,661.2903225806451,-0.4999999999999997,-0.8660254037844388
2018,8,Brás,31000,12000,0.78,50,33,1,27,13,21,170,3,548.3870967741935,-0.8660254037844384,-0.5000000000000004
2018,9,Brás,31000,12000,0.78,50,39,1,24,14,12,172,3,554.8387096774194,-1.0,-1.8369701987210297e-16
2018,10,Brás,31000,12000,0.78,36,28,1,13,18,13,135,4,435.4838709677419,-0.8660254037844386,0.5000000000000001
2018,11,Brás,31000,12000,0.78,47,27,0,13,10,10,126,4,406.4516129032258,-0.5000000000000004,0.8660254037844384
2018,12,Brás,31000,12000,0.78,38,27,1,14,17,11,137,4,441.93548387096774,-2.4492935982947064e-16,1.0
2019,1,Brás,31000,12000,0.78,37,31,1,15,13,4,133,1,429.03225806451616,0.49999999999999994,0.8660254037844387
2019,2,Brás,31000,12000,0.78,37,40,0,11,13,12,135,1,435.4838709677419,0.8660254037844386,0.5000000000000001
2019,3,Brás,31000,12000,0.78,45,34,1,19,12,14,153,1,493.54838709677415,1.0,6.123233995736766e-17
2019,4,Brás,31000,12000,0.78,55,37,1,29,18,12,186,2,600.0,0.8660254037844387,-0.4999999999999998
2019,5,Brás,31000,12000,0.78,50,38,1,21,22,12,171,2,551.6129032258065,0.49999999999999994,-0.8660254037844387
2019,6,Brás,31000,12000,0.78,46,44,1,24,18,18,175,2,564.516129032258,1.2246467991473532e-16,-1.0
2019,7,Brás,31000,12000,0.78,60,39,1,16,18,10,175,3,564.516129032258,-0.4999999999999997,-0.8660254037844388
2019,8,Brás,31000,12000,0.78,43,32,1,20,12,12,144,3,464.51612903225805,-0.8660254037844384,-0.5000000000000004
2019,9,Brás,31000,12000,0.78,30,31,1,22,20,9,139,3,448.38709677419354,-1.0,-1.8369701987210297e-16
2019,10,Brás,31000,12000,0.78,44,35,1,22,15,13,161,4,519.3548387096774,-0.8660254037844386,0.5000000000000001
2019,11,Brás,31000,12000,0.78,36,30,1,16,7,9,127,4,409.6774193548387,-0.5000000000000004,0.8660254037844384
2019,12,Brás,31000,12000,0.78,36,31,0,11,15,11,127,4,409.6774193548387,-2.4492935982947064e-16,1.0
2020,1,Brás,31000,12000,0.78,41,27,1,23,15,9,147,1,474.19354838709677,0.49999999999999994,0.8660254037844387
2020,2,Brás,31000,12000,0.78,30,43,1,10,12,18,142,1,458.06451612903226,0.8660254037844386,0.5000000000000001
2020,3,Brás,31000,12000,0.78,30,36,0,23,21,14,144,1,464.51612903225805,1.0,6.123233995736766e-17
2020,4,Brás,31000,12000,0.78,51,41,1,29,17,16,182,2,587.0967741935484,0.8660254037844387,-0.4999999999999998
2020,5,Brás,31000,12000,0.78,59,38,1,34,12,15,188,2,606.4516129032257,0.49999999999999994,-0.8660254037844387
2020,6,Brás,31000,12000,0.78,47,32,1,30,17,16,182,2,587.0967741935484,1.2246467991473532e-16,-1.0
2020,7,Brás,31000,12000,0.78,61,42,1,20,18,15,185,3,596.7741935483871,-0.4999999999999997,-0.8660254037844388
2020,8,Brás,31000,12000,0.78,60,48,1,21,15,23,203,3,654.8387096774194,-0.8660254037844384,-0.5000000000000004
2020,9,Brás,31000,12000,0.78,44,38,1,10,26,8,153,3,493.54838709677415,-1.0,-1.8369701987210297e-16
2020,10,Brás,31000,12000,0.78,40,20,0,18,11,10,120,4,387.0967741935484,-0.8660254037844386,0.5000000000000001
2020,11,Brás,31000,12000,0.78,45,17,0,9,14,9,115,4,370.9677419354839,-0.5000000000000004,0.8660254037844384
2020,12,Brás,31000,12000,0.78,42,28,0,20,10,10,133,4,429.03225806451616,-2.4492935982947064e-16,1.0
2021,1,Brás,31000,12000,0.78,26,32,0,20,19,7,115,1,370.9677419354839,0.49999999999999994,0.8660254037844387
2021,2,Brás,31000,12000,0.78,50,31,1,16,19,9,151,1,487.0967741935484,0.8660254037844386,0.5000000000000001
2021,3,Brás,31000,12000,0.78,52,37,1,12,20,17,171,1,551.6129032258065,1.0,6.123233995736766e-17
2021,4,Brás,31000,12000,0.78,36,33,1,19,29,10,157,2,506.4516129032258,0.8660254037844387,-0.4999999999999998
2021,5,Brás,31000,12000,0.78,44,24,1,22,18,11,148,2,477.41935483870964,0.49999999999999994,-0.8660254037844387
2021,6,Brás,31000,12000,0.78,49,29,1,16,16,13,166,2,535.483870967742,1.2246467991473532e-16,-1.0
2021,7,Brás,31000,12000,0.78,64,31,1,24,17,15,190,3,612.9032258064516,-0.4999999999999997,-0.8660254037844388
2021,8,Brás,31000,12000,0.78,48,28,0,19,13,11,142,3,458.06451612903226,-0.8660254037844384,-0.5000000000000004
2021,9,Brás,31000,12000,0.78,44,29,0,19,11,17,137,3,441.93548387096774,-1.0,-1.8369701987210297e-16
2021,10,Brás,31000,12000,0.78,48,19,0,14,21,8,134,4,432.258064516129,-0.8660254037844386,0.5000000000000001
2021,11,Brás,31000,12000,0.78,36,24,1,13,10,13,129,4,416.1290322580645,-0.5000000000000004,0.8660254037844384
2021,12,Brás,31000,12000,0.78,49,29,1,17,12,13,146,4,470.9677419354839,-2.4492935982947064e-16,1.0
2022,1,Brás,31000,12000,0.78,42,23,0,17,17,11,127,1,409.6774193548387,0.49999999999999994,0.8660254037844387
2022,2,Brás,31000,12000,0.78,47,32,1,17,16,11,151,1,487.0967741935484,0.8660254037844386,0.5000000000000001
2022,3,Brás,31000,12000,0.78,56,30,1,19,13,10,162,1,522.5806451612902,1.0,6.123233995736766e-17
2022,4,Brás,31000,12000,0.78,62,45,1,23,14,7,185,2,596.7741935483871,0.8660254037844387,-0.4999999999999998
2022,5,Brás,31000,12000,0.78,48,43,1,18,16,12,173,2,558.0645161290323,0.49999999999999994,-0.8660254037844387
2022,6,Brás,31000,12000,0.78,54,27,1,20,21,23,171,2,551.6129032258065,1.2246467991473532e-16,-1.0
2022,7,Brás,31000,12000,0.78,48,43,1,23,17,10,176,3,567.741935483871,-0.4999999999999997,-0.8660254037844388
2022,8,Brás,31000,12000,0.78,33,18,1,14,9,10,122,3,393.54838709677415,-0.8660254037844384,-0.5000000000000004
2022,9,Brás,31000,12000,0.78,52,24,1,16,21,16,157,3,506.4516129032258,-1.0,-1.8369701987210297e-16
2022,10,Brás,31000,12000,0.78,51,27,0,21,9,15,143,4,461.2903225806451,-0.8660254037844386,0.5000000000000001
2022,11,Brás,31000,12000,0.78,31,28,0,8,16,6,110,4,354.8387096774194,-0.5000000000000004,0.8660254037844384
2022,12,Brás,31000,12000,0.78,44,24,0,19,8,13,129,4,416.1290322580645,-2.4492935982947064e-16,1.0
2023,1,Brás,31000,12000,0.78,43,26,1,22,9,9,135,1,435.4838709677419,0.49999999999999994,0.8660254037844387
2023,2,Brás,31000,12000,0.78,41,23,1,15,13,10,132,1,425.80645161290323,0.8660254037844386,0.5000000000000001
2023,3,Brás,31000,12000,0.78,45,37,1,24,20,16,167,1,538.7096774193549,1.0,6.123233995736766e-17
2023,4,Brás,31000,12000,0.78,47,40,1,21,20,8,172,2,554.8387096774194,0.8660254037844387,-0.4999999999999998
2023,5,Brás,31000,12000,0.78,41,34,1,14,16,17,154,2,496.77419354838713,0.49999999999999994,-0.8660254037844387
2023,6,Brás,31000,12000,0.78,52,46,1,19,16,19,183,2,590.3225806451612,1.2246467991473532e-16,-1.0
2023,7,Brás,31000,12000,0.78,55,41,1,23,12,18,178,3,574.1935483870968,-0.4999999999999997,-0.8660254037844388
2023,8,Brás,31000,12000,0.78,47,28,1,12,19,13,148,3,477.41935483870964,-0.8660254037844384,-0.5000000000000004
2023,9,Brás,31000,12000,0.78,36,35,1,14,17,17,146,3,470.9677419354839,-1.0,-1.8369701987210297e-16
2023,10,Brás,31000,12000,0.78,43,35,1,17,13,8,141,4,454.8387096774194,-0.8660254037844386,0.5000000000000001
2023,11,Brás,31000,12000,0.78,38,29,0,11,15,5,114,4,367.741935483871,-0.5000000000000004,0.8660254037844384
2023,12,Brás,31000,12000,0.78,40,30,0,20,19,13,140,4,451.6129032258065,-2.4492935982947064e-16,1.0
2018,1,Lapa,65000,7800,0.86,27,21,0,5,13,10,94,1,144.6153846153846,0.49999999999999994,0.8660254037844387
2018,2,Lapa,65000,7800,0.86,31,15,0,7,6,7,80,1,123.07692307692308,0.8660254037844386,0.5000000000000001
2018,3,Lapa,65000,7800,0.86,28,30,0,13,18,6,111,1,170.76923076923077,1.0,6.123233995736766e-17
2018,4,Lapa,65000,7800,0.86,39,30,0,16,22,4,133,2,204.61538461538458,0.8660254037844387,-0.4999999999999998
2018,5,Lapa,65000,7800,0.86,33,27,1,14,21,13,134,2,206.15384615384613,0.49999999999999994,-0.8660254037844387
2018,6,Lapa,65000,7800,0.86,35,27,0,9,9,14,113,2,173.84615384615387,1.2246467991473532e-16,-1.0
2018,7,Lapa,65000,7800,0.86,42,22,0,18,11,13,124,3,190.76923076923077,-0.4999999999999997,-0.8660254037844388
2018,8,Lapa,65000,7800,0.86,35,30,0,12,11,10,120,3,184.6153846153846,-0.8660254037844384,-0.5000000000000004
2018,9,Lapa,65000,7800,0.86,42,19,0,10,9,3,103,3,158.46153846153845,-1.0,-1.8369701987210297e-16
